GivenName,Surname,Gender,EmailAddress,TelephoneNumber,NationalID,Age,City,StreetAddress,ZipCode,NameSet,Birthday,StateFull
Taziana,Nucci,female,TazianaNucci@cuvox.de,"0321 9645696",WZ92768153,47,"Camnago Volta","Via Carlo Alberto 33",22030,Italian,7/18/1972,Como
Geronimo,Dellucci,male,GeronimoDellucci@cuvox.de,"0345 2939593",ZG52686657,32,Montelanico,"Via Longhena 147",00030,Italian,4/5/1987,Roma
Gloria,Gallo,female,GloriaGallo@cuvox.de,"0376 1649773",EE78880713,51,Gavignano,"Via Longhena 125",00030,Italian,12/21/1968,Roma
Luigi,Ferrari,male,LuigiFerrari@superrito.com,"0379 8683092",XA12477115,19,"Sant'Egidio Alla Vibrata","Via Scuderlando 131",64016,Italian,5/8/2000,Teramo
Lilla,Manfrin,female,LillaManfrin@jourrapide.com,"0326 4037694",LJ50215388,52,Gattico,"Via Nicola Mignogna 49",28013,Italian,6/22/1967,Novara
Assunta,Cattaneo,female,AssuntaCattaneo@fleckens.hu,"0387 1766350",WH83887745,44,Barbian,"Via Alessandro Farnese 71",39040,Italian,3/15/1975,Bolzano
Ambrosia,Genovesi,female,AmbrosiaGenovesi@gustr.com,"0342 7846458",DY55589422,61,Luciana,"Via Sergente Maggiore 128",56043,Italian,1/7/1959,Pisa
Serena,Fallaci,female,SerenaFallaci@dayrep.com,"0356 3044766",NE19909324,46,Abetone,"Viale Maria Cristina di Savoia 41",51021,Italian,12/13/1973,Pistoia
Domenico,Udinese,male,DomenicoUdinese@gustr.com,"0373 6618764",YR95243513,48,"San Pancrazio","Via di Santa Melania 85",39010,Italian,11/18/1971,Bolzano
Carolina,Iadanza,female,CarolinaIadanza@einrot.com,"0371 6018693",GM85002770,46,Mezzolago,"Corso Porta Borsari 13",38060,Italian,9/4/1973,Trento
Liviana,Zito,female,LivianaZito@rhyta.com,"0326 7305114",QS5700007,25,Rotello,"Via delle Mura Gianicolensi 142",86040,Italian,1/30/1995,Campobasso
Antonio,Lombardi,male,AntonioLombardi@dayrep.com,"0314 0239480",OE50817442,60,Palosco,"Via Giulio Petroni 105",24050,Italian,5/5/1959,Bergamo
Matilde,Russo,female,MatildeRusso@teleworm.us,"0396 2896909",FP40506941,64,Casalgiate,"Via Nicola Mignogna 49",28100,Italian,11/6/1955,Novara
Cristina,Pagnotto,female,CristinaPagnotto@rhyta.com,"0326 8516708",EC67627897,47,Andreis,"Corso Vittorio Emanuale 122",33080,Italian,8/9/1972,Pordenone
Clelia,Bruno,female,CleliaBruno@fleckens.hu,"0380 4254679",IF16633656,26,Borboruso,"Via Castelfidardo 117",87050,Italian,10/3/1993,Cosenza
Rosario,Bellucci,male,RosarioBellucci@dayrep.com,"0325 1390277",BW32856548,37,"Ponte A Elsa","Piazza Principe Umberto 73",50057,Italian,9/18/1982,Firenze
Alvaro,Pinto,male,AlvaroPinto@cuvox.de,"0399 3153065",TX2828445,20,"La Spezia","Via Nolana 26",19020,Italian,10/18/1999,"La Spezia"
Azeglio,Arcuri,male,AzeglioArcuri@dayrep.com,"0373 4583208",RY62143136,38,Pioppo,"Via Genova 77",90040,Italian,5/8/1981,Palermo
Felicita,Cocci,female,FelicitaCocci@gustr.com,"0338 2153978",UR10506251,59,Alvignanello,"Via delle Mura Gianicolensi 70",81010,Italian,4/29/1960,Caserta
Milena,Baresi,female,MilenaBaresi@rhyta.com,"0330 4138629",VH36955264,27,"Amato Di Taurianova","Via Pisanelli 143",89020,Italian,9/26/1992,"Reggio Calabria"
Giordana,Siciliano,female,GiordanaSiciliano@rhyta.com,"0372 8774018",LU33624883,67,Borutta,"Via Carlo Cattaneo 128",07040,Italian,7/13/1952,Sassari
Augusto,Lombardo,male,AugustoLombardo@gustr.com,"0386 8023027",IY62315113,59,Puglietta,"Vicolo Cieco Fondachetto 93",84020,Italian,2/15/1961,Salerno
Marta,Lucciano,female,MartaLucciano@superrito.com,"0330 4517830",MF8563280,28,Faggiano,"Strada Bresciana 101",74020,Italian,9/24/1991,Taranto
Domenica,Genovesi,female,DomenicaGenovesi@einrot.com,"0384 3306637",MA33760324,55,Morolo,"Corso Garibaldi 136",03017,Italian,12/20/1964,Frosinone
Aladino,Marcelo,male,AladinoMarcelo@jourrapide.com,"0313 1570558",TJ6613689,31,Vernazza,"Via Raffaele Conforti 112",19018,Italian,1/25/1989,"La Spezia"
Francesco,Moretti,male,FrancescoMoretti@dayrep.com,"0323 9102400",KL47824623,23,Mamiano,"Piazza Giuseppe Garibaldi 91",43030,Italian,2/19/1997,Parma
Valeria,Fanucci,female,ValeriaFanucci@rhyta.com,"0345 3010745",NZ36855882,20,Marruci,"Via Catullo 16",67010,Italian,9/20/1999,L'Aquila
Salvo,Iadanza,male,SalvoIadanza@dayrep.com,"0341 0547758",VX2508614,32,Longarone,"Via Nicolai 121",32013,Italian,4/16/1987,Belluno
Lorenzo,Genovesi,male,LorenzoGenovesi@gustr.com,"0317 2432569",FN68438550,28,Messina,"Via San Domenico Soriano 89",98128,Italian,7/15/1991,Messina
Ulderico,Udinesi,male,UldericoUdinesi@cuvox.de,"0381 4265922",QN76334020,50,Pernocari,"Via Rocca de Baldi 104",89841,Italian,10/26/1969,"Vibo Valentia"
Celso,Boni,male,CelsoBoni@einrot.com,"0314 1192906",CF23274910,31,"San Donato Milanese","Via San Pietro Ad Aram 105",20097,Italian,11/6/1988,Milano
Serena,Angelo,female,SerenaAngelo@einrot.com,"0396 1756578",WF85651092,27,Clivio,"Via Corio 45",21050,Italian,8/23/1992,Varese
Graziella,Zetticci,female,GraziellaZetticci@dayrep.com,"0355 8435770",WM16062630,66,Borello,"Via Foria 54",47022,Italian,4/14/1953,Forli
Sara,Marcelo,female,SaraMarcelo@cuvox.de,"0335 1743279",FL0955402,44,Bedizzole,"Via Capo le Case 41",25081,Italian,6/3/1975,Brescia
Luisa,Romani,female,LuisaRomani@superrito.com,"0341 9868078",EM73610519,34,"Colle Brianza","Piazza Pilastri 76",23886,Italian,11/25/1985,Lecco
Quarto,Pisani,male,QuartoPisani@einrot.com,"0374 3276921",RH22953859,38,"San Lorenzo Di Sant'Egidio","Piazzetta Scalette Rubiani 15",84010,Italian,8/10/1981,Salerno
Diego,Greco,male,DiegoGreco@fleckens.hu,"0393 7145755",WQ3355767,33,Ranco,"Via Spalato 49",21020,Italian,3/27/1986,Varese
Irma,Mazzanti,female,IrmaMazzanti@dayrep.com,"0397 5686142",GX5403876,39,Vitulano,"Via Piccinni 62",82038,Italian,1/5/1981,Benevento
Marco,"De Luca",male,MarcoDeLuca@superrito.com,"0320 4928508",XM82858951,19,Signa,"Via Nuova Agnano 98",50058,Italian,12/22/2000,Firenze
Donata,Mazzanti,female,DonataMazzanti@rhyta.com,"0346 2669363",HI25108707,31,Maretto,"Via Roma 140",14018,Italian,12/9/1988,Asti
Fabrizia,Gallo,female,FabriziaGallo@rhyta.com,"0337 4819261",JN58877567,31,"Borgo Quinzio","Via delle Coste 77",02030,Italian,2/8/1989,Rieti
Marta,Fanucci,female,MartaFanucci@rhyta.com,"0313 2000665",EC87046528,30,"Ischia Di Castro","Via Lagrange 141",01010,Italian,11/20/1989,Viterbo
Ferdinando,Boni,male,FerdinandoBoni@fleckens.hu,"0319 4362835",VT79945290,63,"Val Masino","Strada Bresciana 29",23010,Italian,8/3/1956,Sondrio
Cassandra,Rizzo,female,CassandraRizzo@superrito.com,"0316 0874215",RD5768655,47,Pirri,"Via del Viminale 68",09134,Italian,4/7/1972,Cagliari
Pio,Dellucci,male,PioDellucci@fleckens.hu,"0392 1584249",OR55585429,56,Podenzana,"Via Pasquale Scura 70",54010,Italian,2/8/1964,Massa
Miriam,Panicucci,female,MiriamPanicucci@einrot.com,"0319 0722622",XH36479951,62,Noci,"Corso Alcide De Gasperi 135",70015,Italian,7/17/1957,Bari
Abela,Lettiere,female,AbelaLettiere@armyspy.com,"0355 9336417",HC58865498,45,Lago,"Piazza Bovio 32",41045,Italian,9/3/1974,Modena
Liviano,Siciliani,male,LivianoSiciliani@fleckens.hu,"0317 3668653",OP40636224,47,Ostiglia,"Via Galileo Ferraris 16",46035,Italian,8/7/1972,Mantova
Benedetto,Loggia,male,BenedettoLoggia@cuvox.de,"0318 2719271",SK62448632,29,"Ponte A Elsa","Piazza Principe Umberto 65",50057,Italian,5/11/1990,Firenze
Fausta,Napolitano,female,FaustaNapolitano@dayrep.com,"0384 9677701",CX17490151,52,Triggiano,"Corso Alcide De Gasperi 128",70019,Italian,1/30/1968,Bari
Ausilia,Ferri,female,AusiliaFerri@jourrapide.com,"0352 9460814",EK60487080,19,Marebbe,"Via San Domenico 36",39030,Italian,9/19/2000,Bolzano
Alida,Manna,female,AlidaManna@teleworm.us,"0374 1500991",XJ95959589,64,Tarres,"Via Nazionale 134",39020,Italian,3/4/1955,Bolzano
Maurilio,Barese,male,MaurilioBarese@cuvox.de,"0361 0531430",RW34770705,39,"Torre Degli Alberi","Vico Giganti 1",27040,Italian,5/31/1980,Pavia
Severo,Castiglione,male,SeveroCastiglione@teleworm.us,"0354 0737904",PJ15650722,26,"Monteforte D'Alpone","Via Gaetano Donizetti 123",37032,Italian,11/24/1993,Verona
Luisa,Ferri,female,LuisaFerri@cuvox.de,"0337 6233398",DY35276230,50,"Acquanegra Sul Chiese","Via Galileo Ferraris 72",46011,Italian,8/14/1969,Mantova
Abramo,Longo,male,AbramoLongo@cuvox.de,"0335 3066610",JC55851823,46,"Sant'Andrea Pelago","Via Giacinto Gigante 127",41027,Italian,4/9/1973,Modena
Adone,Genovese,male,AdoneGenovese@superrito.com,"0393 1154407",ES12043094,47,"San Terenzo","Via Nolana 139",19036,Italian,1/9/1973,"La Spezia"
Viviano,Folliero,male,VivianoFolliero@jourrapide.com,"0322 6135248",YX28771423,50,"Costa De' Nobili","Via Alessandro Manzoni 119",27010,Italian,10/28/1969,Pavia
Susanna,Pirozzi,female,SusannaPirozzi@rhyta.com,"0349 0799175",TG45852380,61,Fontanelle,"Lungodora Napoli 75",36062,Italian,4/14/1958,Vicenza
Liberata,Lori,female,LiberataLori@einrot.com,"0324 6697977",VP80645616,49,"Villa San Giovanni","Via Domenico Morelli 17",65010,Italian,10/29/1970,Pescara
Quintino,Lorenzo,male,QuintinoLorenzo@einrot.com,"0398 7015347",WD71606884,66,Sorgono,"Via Croce Rossa 74",08038,Italian,1/26/1954,Nuoro
Lilla,Russo,female,LillaRusso@teleworm.us,"0385 5640913",MA77890195,53,Pianello,"Via Tasso 142",06080,Italian,6/16/1966,Perugia
Medardo,Dellucci,male,MedardoDellucci@superrito.com,"0388 9941425",VT81640577,49,"Celle Ligure","Via Vipacco 71",17015,Italian,9/30/1970,Savona
Gioele,Russo,male,GioeleRusso@teleworm.us,"0371 9637068",DC19182576,27,"Provaglio D'Iseo","Via dei Serpenti 70",25050,Italian,5/8/1992,Brescia
Elda,Nucci,female,EldaNucci@fleckens.hu,"0394 5800985",QA81650103,36,Dueville,"Lungodora Napoli 80",36031,Italian,7/18/1983,Vicenza
Orazio,Sabbatini,male,OrazioSabbatini@einrot.com,"0358 2982397",KX62860304,18,"Villafranca Piemonte","Via del Pontiere 74",10068,Italian,4/11/2001,Torino
Vittorio,Costa,male,VittorioCosta@fleckens.hu,"0319 2699480",JZ82936756,63,Sarnico,"Via Lombardi 89",24067,Italian,9/2/1956,Bergamo
Salomone,Marcelo,male,SalomoneMarcelo@teleworm.us,"0339 6045862",OH50852697,48,Villafontana,"Via Rocca de Baldi 60",37050,Italian,7/22/1971,Verona
Luisa,Manfrin,female,LuisaManfrin@einrot.com,"0383 9512375",AE24112068,24,Civiasco,"Piazza San Carlo 107",13010,Italian,7/24/1995,Vercelli
Ottone,Lori,male,OttoneLori@einrot.com,"0354 7566052",IF97142375,22,Torrechiara,"Piazzetta Concordia 89",43010,Italian,6/10/1997,Parma
Pasquale,Genovese,male,PasqualeGenovese@superrito.com,"0354 4503957",KS46010255,20,"San Nicola La Strada","Via Varrone 97",81020,Italian,8/2/1999,Caserta
Germano,Loggia,male,GermanoLoggia@teleworm.us,"0381 4613471",XJ97098620,36,Altopascio,"Via Bologna 111",55011,Italian,11/20/1983,Lucca
Bartolomeo,Ricci,male,BartolomeoRicci@einrot.com,"0316 5551010",UD92901798,50,Soresina,"Via Giovanni Amendola 127",26015,Italian,1/20/1970,Cremona
Michelangelo,Milanesi,male,MichelangeloMilanesi@armyspy.com,"0322 9438092",FQ83480813,30,Armo,"Piazza Cardinale Riario Sforza 83",18026,Italian,1/9/1990,Imperia
Augusta,Bruno,female,AugustaBruno@superrito.com,"0396 1301941",ZR81002950,40,"San Fermo","Via Spalato 8",21100,Italian,1/19/1980,Varese
Agostino,Lombardi,male,AgostinoLombardi@cuvox.de,"0376 5000987",MY92060977,39,Agerola,"Via Guantai Nuovi 30",80051,Italian,9/30/1980,Napoli
Costanzo,Fiorentini,male,CostanzoFiorentini@fleckens.hu,"0378 1526216",YF55474483,64,"Boara Pisani","Via Francesco Girardi 86",35040,Italian,8/6/1955,Padova
Giuliana,Folliero,female,GiulianaFolliero@jourrapide.com,"0365 5037577",RP69229356,60,"Limiti Di Greccio","Via delle Coste 144",02045,Italian,12/17/1959,Rieti
Ludovica,Trevisan,female,LudovicaTrevisan@teleworm.us,"0382 8214315",IC75290010,22,Collecorvino,"Via Domenico Morelli 29",65010,Italian,12/1/1997,Pescara
Alessandra,Mazzanti,female,AlessandraMazzanti@teleworm.us,"0398 1415885",XZ98202707,36,Piraino,"Via Nuova del Campo 40",98060,Italian,5/17/1983,Messina
Emiliano,Pagnotto,male,EmilianoPagnotto@cuvox.de,"0329 0481645",PT94054740,36,"Oleggio Castello","Via Donnalbina 6",28040,Italian,12/29/1983,Novara
Annunziata,Siciliano,female,AnnunziataSiciliano@jourrapide.com,"0373 7509165",HD75934972,62,Selva,"Via Nicola Mignogna 24",80034,Italian,11/12/1957,Napoli
Rosario,Mancini,male,RosarioMancini@teleworm.us,"0359 2145403",TG15485309,47,Serrano,"Via Antonio Beccadelli 115",73020,Italian,8/26/1972,Lecce
Ermes,"Li Fonti",male,ErmesLiFonti@gustr.com,"0380 4180167",WQ3558964,27,"Quinto De Stampi","Via San Cosmo fuori Porta Nolana 69",20089,Italian,12/13/1992,Milano
Rosarmosario,Capon,male,RosarmosarioCapon@gustr.com,"0397 1093644",TK96067317,42,"San Gennarello","Via dei Fiorentini 17",80040,Italian,8/13/1977,Napoli
Ausilio,Colombo,male,AusilioColombo@jourrapide.com,"0358 1929853",QS21477315,36,Beffi,"Via Raffaele Conforti 59",67020,Italian,3/13/1983,L'Aquila
Abbondio,Rossi,male,AbbondioRossi@rhyta.com,"0313 9991868",QZ16043281,38,"Vitorchiano Stazione","Corso Casale 147",01030,Italian,12/3/1981,Viterbo
Nereo,Davide,male,NereoDavide@gustr.com,"0325 1137322",VX25356500,51,Camerata,"Via Santa Lucia 57",06059,Italian,6/5/1968,Perugia
"Wanda ",Gallo,female,WandaGallo@gustr.com,"0380 0201378",QP23944026,28,"Cascinette D'Ivrea","Via Giberti 99",10010,Italian,8/30/1991,Torino
Raffaele,Rizzo,male,RaffaeleRizzo@superrito.com,"0313 8667787",XW21216676,64,Truccazzano,"Via San Pietro Ad Aram 17",20060,Italian,7/26/1955,Milano
Ilaria,Mazzi,female,IlariaMazzi@dayrep.com,"0319 7112813",MV45198534,27,"San Michele","Via Piave 144",88040,Italian,3/16/1992,Catanzaro
Flora,Panicucci,female,FloraPanicucci@dayrep.com,"0394 4745351",FJ71331850,34,"Oltressenda Alta","Via Giulio Petroni 5",24020,Italian,5/2/1985,Bergamo
Adalberta,Marcelo,female,AdalbertaMarcelo@fleckens.hu,"0345 6299975",WV92419850,56,Morano,"Piazza Bovio 123",41048,Italian,7/10/1963,Modena
Valentino,Genovesi,male,ValentinoGenovesi@cuvox.de,"0335 3504389",OT18548867,47,Sirtori,"Piazza Pilastri 66",23896,Italian,7/7/1972,Lecco
Romilda,Piazza,female,RomildaPiazza@gustr.com,"0356 6494652",KE12861703,46,Bivongi,"Via Pisanelli 107",89040,Italian,2/23/1974,"Reggio Calabria"
Demetrio,Piccio,male,DemetrioPiccio@dayrep.com,"0315 4655499",IH89496073,46,Champorcher,"Via delle Viole 146",11020,Italian,5/22/1973,Aosta
Leda,Rizzo,female,LedaRizzo@armyspy.com,"0326 5525801",IH18693092,49,Orosei,"Corso Novara 129",08028,Italian,12/8/1970,Nuoro
Andrea,Marino,male,AndreaMarino@fleckens.hu,"0368 7143849",BV3476866,22,Montemitro,"Via delle Mura Gianicolensi 22",86030,Italian,3/31/1997,Campobasso
Alberico,Mancini,male,AlbericoMancini@cuvox.de,"0354 4816576",SZ65236773,44,Cheremule,"Via Carlo Cattaneo 131",07040,Italian,11/16/1975,Sassari
Emanuele,Bergamaschi,male,EmanueleBergamaschi@superrito.com,"0377 5127956",RG31988897,30,Recco,"Via Matteo Schilizzi 143",16036,Italian,5/25/1989,Genova
Natalia,Dellucci,female,NataliaDellucci@einrot.com,"0350 6714874",NE77275960,40,Calvanico,"Via Valpantena 133",84080,Italian,3/20/1979,Salerno
Donatella,Baresi,female,DonatellaBaresi@cuvox.de,"0363 8376776",IO66868351,18,Niccioleta,"Corso Vittorio Emanuele 96",58020,Italian,1/23/2002,Grosseto
Violante,Romani,female,ViolanteRomani@gustr.com,"0361 0033416",AN60839931,65,Cecchignola,"Via Colonnello Galliano 54",00143,Italian,9/14/1954,Roma
Duilio,Bianchi,male,DuilioBianchi@fleckens.hu,"0380 3556889",RV10187678,19,"Bagni Di Contursi","Via Valpantena 123",84020,Italian,6/6/2000,Salerno
Violetta,Mazzanti,female,ViolettaMazzanti@gustr.com,"0325 1108003",QT32977094,36,Buonacquisto,"Stradone Antonio Provolo 100",05030,Italian,4/4/1983,Termi
Urania,Fiorentini,female,UraniaFiorentini@armyspy.com,"0366 6428132",FW93291305,53,"Rocca Canavese","Via Volto San Luca 22",10070,Italian,1/20/1967,Torino
Cherubino,Zetticci,male,CherubinoZetticci@rhyta.com,"0345 6907417",AP32629474,46,Imperia,"Piazza Cardinale Riario Sforza 19",18100,Italian,12/25/1973,Imperia
Natalia,Udinese,female,NataliaUdinese@einrot.com,"0386 7011628",MS87042371,34,Filettino,"Corso Garibaldi 98",03010,Italian,6/4/1985,Frosinone
Cora,Siciliano,female,CoraSiciliano@teleworm.us,"0335 4246227",TK68313886,45,Archi,"Via Pisanelli 85",89051,Italian,1/31/1975,"Reggio Calabria"
Emilio,Cocci,male,EmilioCocci@teleworm.us,"0372 6732171",RK97797049,57,Portovecchio,"Via Duomo 78",57025,Italian,8/13/1962,Livorno
Alfredo,Giordano,male,AlfredoGiordano@cuvox.de,"0354 5064790",KL84998221,54,Caldogno,"Lungodora Napoli 84",36030,Italian,2/28/1966,Vicenza
Giulia,Zito,female,GiuliaZito@gustr.com,"0382 5440635",UR24844892,61,Vicoli,"Via Domenico Morelli 77",65010,Italian,11/23/1958,Pescara
Letizia,Lettiere,female,LetiziaLettiere@jourrapide.com,"0370 3285101",TX82434789,45,Portocannone,"Via delle Mura Gianicolensi 115",86045,Italian,7/19/1974,Campobasso
Renata,Toscano,female,RenataToscano@rhyta.com,"0390 0388579",TA81223913,23,"Due Cossani","Via Corio 111",21010,Italian,9/6/1996,Varese
Cristina,Moretti,female,CristinaMoretti@einrot.com,"0341 7482505",FY0332211,50,"Passo Di Treia","Piazza Guglielmo Pepe 92",62010,Italian,1/28/1970,Macerata
Simone,Dellucci,male,SimoneDellucci@superrito.com,"0384 0667044",VM35712587,27,Panza,"Via dei Fiorentini 40",80070,Italian,6/7/1992,Napoli
Roberto,Lorenzo,male,RobertoLorenzo@rhyta.com,"0318 3103597",GV80970562,41,"Villa Paterno","Stradone Antonio Provolo 23",64010,Italian,6/8/1978,Teramo
Piero,"Li Fonti",male,PieroLiFonti@armyspy.com,"0369 8131064",BP37016705,33,Casumaro,"Via Vico Ferrovia 102",44041,Italian,4/16/1986,Ferrara
Alighiero,Bellucci,male,AlighieroBellucci@dayrep.com,"0350 4542924",JO36931709,20,Ambra,"Via Callicratide 82",52020,Italian,4/20/1999,Arezzo
Colombano,Bruno,male,ColombanoBruno@armyspy.com,"0382 1383284",RO83353401,46,Casanova,"Via delle Mura Gianicolensi 67",81030,Italian,9/25/1973,Caserta
Macario,Schiavone,male,MacarioSchiavone@cuvox.de,"0389 9743500",AZ21012047,30,Capitignano,"Via Raffaele Conforti 148",67014,Italian,1/12/1990,L'Aquila
Costanzo,Folliero,male,CostanzoFolliero@dayrep.com,"0311 7918000",MN48354434,25,"Canistro Superiore","Via Raffaele Conforti 108",67050,Italian,1/16/1995,L'Aquila
Delmo,Cremonesi,male,DelmoCremonesi@gustr.com,"0322 5443889",NG70022603,31,"Sant'Ippolito Di Cosenza","Via Alfredo Fusco 106",87040,Italian,10/11/1988,Cosenza
Battista,Toscano,female,BattistaToscano@jourrapide.com,"0330 6304156",MR23494186,30,"Costa Volpino","Via Giulio Petroni 127",24062,Italian,9/14/1989,Bergamo
Erminio,Toscano,male,ErminioToscano@einrot.com,"0376 0623006",CX36515245,28,"Sant'Angelo Le Fratte","Discesa Gaiola 68",85050,Italian,7/30/1991,Potenza
Alice,Cattaneo,female,AliceCattaneo@teleworm.us,"0339 3567959",IN46093020,62,"Gressoney La Trinite","Via Callicratide 30",11020,Italian,3/5/1957,Aosta
Delmina,Loggia,female,DelminaLoggia@dayrep.com,"0335 9297336",VT20029093,35,Jerzu,"Corso Novara 89",08044,Italian,2/9/1985,Nuoro
Mauro,Sabbatini,male,MauroSabbatini@jourrapide.com,"0367 1334075",DM15289969,67,Barbian,"Via Alessandro Farnese 45",39040,Italian,2/18/1953,Bolzano
"Gabriella ",Bruno,female,GabriellaBruno@gustr.com,"0380 1134231",FD90299618,35,Gnocca,"Via Valpantena 76",45018,Italian,9/27/1984,Rovigo
Mattia,Milanesi,male,MattiaMilanesi@gustr.com,"0311 5013187",XE76974561,64,"Vairano Patenora","Via Varrone 116",81058,Italian,12/24/1955,Caserta
Speranza,Onio,female,SperanzaOnio@rhyta.com,"0321 2960112",ZV58081340,50,Anzio,"Via Colonnello Galliano 7",00042,Italian,10/30/1969,Roma
Giacinto,Ferri,male,GiacintoFerri@einrot.com,"0358 7988664",CV68946295,56,Paruzzaro,"Via Donnalbina 112",28040,Italian,3/18/1963,Novara
Averardo,Genovesi,male,AverardoGenovesi@armyspy.com,"0384 6000695",UD98823374,41,"Pineta Di Sortenna Vallesana","Via Leopardi 68",23035,Italian,6/12/1978,Sondrio
Daria,Conti,female,DariaConti@fleckens.hu,"0315 6350102",TU31042852,27,Rettorgole,"Via del Carmine 66",36030,Italian,1/15/1993,Vicenza
Ilaria,Schiavone,female,IlariaSchiavone@superrito.com,"0324 6725257",SZ57995168,19,Maenza,"Piazza Garibaldi 70",04010,Italian,12/29/2000,Latina
Egidio,Sal,male,EgidioSal@superrito.com,"0321 2664580",TA20879416,18,"Pettorano Sul Gizio","Via Catullo 32",67034,Italian,12/11/2001,L'Aquila
Carmelo,Padovesi,male,CarmeloPadovesi@teleworm.us,"0330 1053543",CC41639788,20,Roma,"Via Belviglieri 101",00046,Italian,5/15/1999,Roma
Luigia,Milanesi,female,LuigiaMilanesi@dayrep.com,"0346 4140882",TD8119806,41,Alserio,"Via Torre di Mezzavia 111",22040,Italian,7/31/1978,Como
Oreste,Romano,male,OresteRomano@fleckens.hu,"0365 3499078",WP42005092,18,"Piana Di Capo D'Orlando","Via Nuova del Campo 45",98070,Italian,2/2/2002,Messina
Emilia,Calabresi,female,EmiliaCalabresi@dayrep.com,"0349 9443079",PS91398265,19,"San Nicolo' Di Valfurva","Via Leopardi 26",23030,Italian,12/31/2000,Sondrio
Ciriaco,Trevisani,male,CiriacoTrevisani@einrot.com,"0326 9180308",FB98506650,67,Mezzago,"Via San Cosmo fuori Porta Nolana 91",20050,Italian,8/21/1952,Milano
Armando,Ferrari,male,ArmandoFerrari@einrot.com,"0323 5310701",JK4075528,59,"San Giovanni","Via Giacinto Gigante 77",41033,Italian,10/29/1960,Modena
Vivaldo,Udinesi,male,VivaldoUdinesi@einrot.com,"0370 5960075",SE17087866,66,Massicelle,"Vicolo Cieco Fondachetto 116",84050,Italian,4/28/1953,Salerno
"Maria Rosa",Conti,female,MariaRosaConti@teleworm.us,"0393 0671865",HF14257134,41,Roma,"Via Belviglieri 92",00040,Italian,6/25/1978,Roma
Ermenegildo,"De Luca",male,ErmenegildoDeLuca@armyspy.com,"0337 3203555",QS18703031,35,"Villa Baggio","Corso Vittorio Emanuale 100",51030,Italian,8/18/1984,Pistoia
Martina,Ferri,female,MartinaFerri@fleckens.hu,"0369 2415776",MQ14513734,41,"Vaprio D'Agogna","Via Donnalbina 132",28010,Italian,10/20/1978,Novara
Giusy,Romano,female,GiusyRomano@jourrapide.com,"0341 7472265",IZ4351906,50,Quittengo,"Strada Statale 132",13812,Italian,7/31/1969,Biella
Veronica,Calabresi,female,VeronicaCalabresi@dayrep.com,"0378 7014080",VE35661491,61,Meleti,"Via Bologna 88",26843,Italian,11/19/1958,Lodi
Santina,Nucci,female,SantinaNucci@superrito.com,"0342 2410503",MJ4440128,30,Montemagno,"Via Sergente Maggiore 53",56011,Italian,4/5/1989,Pisa
Marisa,Onio,female,MarisaOnio@gustr.com,"0392 5258543",UY26690782,45,"San Martino Stella","Via Scala 31",17010,Italian,7/31/1974,Savona
Romolo,Lombardo,male,RomoloLombardo@rhyta.com,"0385 7596806",BP25200592,36,"San Paolo D'Argon","Via Lombardi 149",24060,Italian,1/28/1984,Bergamo
Ignazio,Pirozzi,male,IgnazioPirozzi@jourrapide.com,"0325 3050205",GD78366397,60,Perticani,"Via Tasso 63",06034,Italian,9/6/1959,Perugia
Isidoro,Rizzo,male,IsidoroRizzo@gustr.com,"0381 0531707",RN37301085,47,Bigolino,"Vicolo Tre Marchetti 66",31030,Italian,10/18/1972,Treviso
Fosco,Zito,male,FoscoZito@armyspy.com,"0319 2312385",NQ54122820,59,Casola,"Via Guantai Nuovi 16",80050,Italian,3/4/1960,Napoli
Iva,Pirozzi,female,IvaPirozzi@rhyta.com,"0348 3855399",QX21011929,27,"Volpago Del Montello","Via Nizza 10",31040,Italian,11/2/1992,Treviso
Petronio,Calabrese,male,PetronioCalabrese@rhyta.com,"0320 3473418",SN55590136,66,"Buglio In Monte","Via Leopardi 115",23010,Italian,8/25/1953,Sondrio
Claudio,Marchesi,male,ClaudioMarchesi@fleckens.hu,"0327 0137819",AR78682744,66,Pezzaze,"Via dei Serpenti 108",25060,Italian,12/29/1953,Brescia
Galileo,Beneventi,male,GalileoBeneventi@teleworm.us,"0367 9742376",TS66642550,57,Vasto,"Via Torre di Mezzavia 142",66054,Italian,12/12/1962,Chieti
Valentina,Palerma,female,ValentinaPalerma@einrot.com,"0369 8342944",DH59563123,38,Giove,"Stradone Antonio Provolo 62",05024,Italian,7/16/1981,Termi
Grazia,Cremonesi,female,GraziaCremonesi@einrot.com,"0326 7883659",LZ10021367,64,"San Quirico","Via del Carmine 76",36070,Italian,6/21/1955,Vicenza
Bellino,Endrizzi,male,BellinoEndrizzi@rhyta.com,"0369 7666693",GB54786924,19,Chiuppano,"Lungodora Napoli 86",36010,Italian,1/10/2001,Vicenza
Giada,Padovesi,female,GiadaPadovesi@rhyta.com,"0360 0326069",HR93553194,25,Floresta,"Via San Domenico Soriano 60",98030,Italian,5/14/1994,Messina
Degna,Bruno,female,DegnaBruno@fleckens.hu,"0399 7831236",WM17554586,24,"Brissago Valtravaglia","Via Sacchi 34",21030,Italian,9/25/1995,Varese
